symbol,price,spread,depth+2%,depth-2%,volume,volume%,spread>5%,category
GNY/BTC,$0.35,12.36%,$0,$0,"$73,100.70",-,1,4
TOP/USDT,$0.43,4.32%,$0,$0,"$46,516.68",-,0,3
ULT/USDT,$0.01,10.12%,$0,$0," $34,914.22",-,1,4
XPT/BTC,$0.02,11.36%,$0,$0,"$22,569.08",-,1,4
TRN/USDT,$0.02,21.76%,$0,$0,"$20,436.38",-,1,4
XAG/ETH,$0.05,68.43%,$0,$0,"$17,936.73",-,1,4
ZNC/USDT,$0.00,18.06%,$0,$0,"$17,018.16",-,1,2
GIX/USDT,$3.11,8.11%,$0,$0,"$16,683.13",-,1,4
TFD/USDT,$0.01,8.02%,$0,$0,"$12,769.61",-,1,4
HOT/USDT,$0.00,45.53%,$0,$0,"$10,643.20",-,1,1
CUR/ETH,$0.00,5.8%,$0,$0,"$10,959.27",-,1,4
INJ/USDT,$7.23,16.1%,$0,$0,"$7,604.62",-,1,4
EHRT/USDT,$0.02,5.69%,$0,$0,"$6,602.09",-,1,4
TERN/USDT,$0.01,9.01%,$0,$0,"$2,431.80",-,1,4
ABT/BTC,$0.11,9.33%,$0,$0,"$1,840.02",-,1,1
GNT/BTC,$0.20,10.49%,$0,$0,"$1,822.79",-,1,1
PCL/ETH,$0.00,32.29%,$0,$0,"$1,062.35",-,1,4
BRC/USDT,$0.41,2.99%,$294,$77,$774.01,-,0,3
SWAG/USDT,$0.06,1.57%,$104,$5,$173.39,-,0,3
XEM/USDT,$0.22,1.96%,$52,$329,$127.02,-,0,3
LRC/USDT,$0.34,0.67%,$0,$53,$83.06,-,0,3
CEL/ETH,$4.12,25.59%,$0,$0,$16.48,-,1,1
