timestamp,volume,open,last_price,low,high
1606478400,250973.03,1.0003,1.0001,1.0001,1.0004
1606482000,226646.34,1.0002,1.0002,1.0001,1.0004
1606485600,417043.13,1.0002,1.0002,1.0,1.004
1606489200,476848.37,1.0002,1.0005,1.0002,1.0006
1606492800,332441.53,1.0004,0.9998,0.9997,1.0005
1606496400,322956.84,0.9997,0.9996,0.9995,1.0
1606500000,367756.31,0.9997,0.9997,0.9996,0.9999
1606503600,231935.77,0.9998,0.9997,0.9995,0.9998
1606507200,423861.77,0.9998,0.9996,0.9992,0.9998
1606510800,388622.15,0.9997,0.9996,0.9994,0.9999
1606514400,101039.81,0.9995,0.9995,0.9994,0.9996
1606518000,201525.27,0.9995,0.9994,0.9994,0.9996
1606521600,299369.74,0.9995,0.9995,0.9994,0.9995
1606525200,242542.31,0.9995,0.9994,0.9993,0.9997
1606528800,153075.96,0.9994,0.9993,0.9993,0.9995
1606532400,98095.53,0.9993,0.9993,0.9993,0.9996
1606536000,138564.33,0.9993,0.9995,0.9992,0.9995
1606539600,93340.44,0.9994,0.9996,0.9994,0.9996
1606543200,189500.67,0.9996,0.9995,0.9993,0.9996
1606546800,140747.84,0.9996,0.9997,0.9995,0.9997
1606550400,413481.18,0.9997,0.9996,0.9996,1.0
1606554000,256383.3,0.9996,0.9995,0.9993,0.9997
1606557600,405970.45,0.9995,0.9996,0.9995,0.9997
1606561200,239493.44,0.9996,0.9998,0.9996,1.0
1606564800,79844.24,0.9997,0.9996,0.9996,0.9997
1606568400,308289.29,0.9996,0.9995,0.9993,0.9998
1606572000,344650.74,0.9995,0.9995,0.9961,0.9997
1606575600,227558.69,0.9995,0.9993,0.9993,0.9996
1606579200,792771.89,0.9994,0.9991,0.999,0.9996
1606582800,681216.32,0.9991,0.9989,0.9989,0.9995
1606586400,1015851.32,0.9991,0.999,0.9987,0.9992
1606590000,255648.48,0.999,0.9988,0.9988,0.9991
1606593600,438025.76,0.9988,0.9989,0.9986,0.999
1606597200,206286.25,0.9988,0.9988,0.9988,0.999
1606600800,432001.42,0.999,0.9991,0.9988,0.9999
1606604400,72790.25,0.9991,0.9991,0.9991,0.9993
1606608000,298885.67,0.9993,0.9991,0.9991,0.9994
1606611600,251843.61,0.9993,0.9993,0.9991,0.9994
1606615200,133044.82,0.9994,0.9993,0.9991,0.9995
1606618800,114082.95,0.9994,0.9992,0.9992,0.9994
1606622400,90504.9,0.9992,0.9994,0.9991,0.9994
1606626000,84337.4,0.9993,0.9994,0.9992,0.9995
1606629600,83135.04,0.9992,0.9993,0.9992,0.9994
1606633200,145566.61,0.9993,0.9994,0.9993,0.9995
1606636800,253373.86,0.9994,0.9992,0.9992,0.9995
1606640400,74008.45,0.9994,0.9995,0.9992,0.9995
1606644000,288981.14,0.9993,0.9997,0.9993,1.002
1606647600,138891.54,0.9998,0.9994,0.9993,0.9998
1606651200,190369.97,0.9994,0.9995,0.9993,0.9996
1606654800,226867.76,0.9995,0.9995,0.9994,0.9998
1606658400,112540.35,0.9995,0.9995,0.9993,0.9996
1606662000,140789.02,0.9994,0.9993,0.9993,0.9994
1606665600,136307.25,0.9994,0.9993,0.9992,0.9994
1606669200,114550.33,0.9993,0.9993,0.9993,0.9995
1606672800,121982.99,0.9994,0.9993,0.9992,0.9994
1606676400,103422.43,0.9993,0.9992,0.9991,0.9993
1606680000,63535.12,0.9992,0.9993,0.9992,0.9995
1606683600,238657.63,0.9994,0.9991,0.999,0.9994
1606687200,223139.36,0.9991,0.9992,0.9989,0.9995
1606690800,366836.85,0.9992,0.9993,0.9989,0.9993
1606694400,417246.46,0.9993,0.9991,0.9991,0.9995
1606698000,328353.77,0.9992,0.9992,0.9991,0.9997
1606701600,112046.63,0.9992,0.9991,0.999,0.9993
1606705200,307593.57,0.9991,0.9989,0.9989,0.9993
1606708800,111157.36,0.9991,0.9991,0.9989,0.9991
1606712400,97486.03,0.9989,0.9991,0.9989,0.9992
1606719600,325025.6,0.9992,0.9992,0.9989,0.9994
1606723200,380052.98,0.9993,0.9994,0.9992,0.9996
1606726800,153559.77,0.9993,0.9997,0.9993,0.9997
