timestamp,volume,open,last_price,low,high
1606478400,40204.85,0.9967,0.9967,0.9966,0.9974
1606482000,133035.8,0.9969,0.9965,0.9962,0.9974
1606485600,201194.05,0.9965,0.9968,0.9963,0.9973
1606489200,124625.88,0.9968,0.9968,0.9964,0.9973
1606492800,91078.6,0.9968,0.9973,0.9966,0.9973
1606496400,107878.93,0.9972,0.9972,0.9964,0.9974
1606500000,77115.61,0.9968,0.9974,0.9966,0.9974
1606503600,60896.87,0.9974,0.9973,0.9969,0.9974
1606507200,185719.96,0.9973,0.9971,0.9964,0.9974
1606510800,59234.78,0.997,0.9973,0.9965,0.9973
1606514400,91493.86,0.9972,0.9971,0.9968,0.9974
1606518000,60262.2,0.9971,0.9971,0.9968,0.9973
1606521600,28183.44,0.9972,0.9971,0.9968,0.9972
1606525200,73326.34,0.9972,0.9974,0.9971,0.9975
1606528800,48781.98,0.9974,0.9969,0.9966,0.9974
1606532400,39698.51,0.9967,0.9969,0.9967,0.9974
1606536000,58717.57,0.9969,0.9966,0.9966,0.9971
1606539600,33649.06,0.9967,0.9966,0.9966,0.9969
1606543200,22092.9,0.9966,0.997,0.9966,0.9974
1606546800,99434.68,0.997,0.9964,0.9964,0.9973
1606550400,68837.01,0.9966,0.9963,0.9963,0.9966
1606554000,77831.29,0.9966,0.9967,0.9963,0.9968
1606557600,160046.89,0.9966,0.9966,0.9961,0.9967
1606561200,69114.07,0.9966,0.9966,0.9961,0.9967
1606564800,55155.55,0.9966,0.9967,0.9965,0.997
1606568400,414703.16,0.997,0.9972,0.9961,0.998
1606572000,340872.55,0.997,0.9973,0.9966,0.9973
1606575600,261145.0,0.997,0.997,0.9965,0.9973
1606579200,405894.94,0.997,0.9974,0.9965,0.9975
1606582800,244249.97,0.9974,0.9972,0.9966,0.9975
1606586400,62188.63,0.9972,0.9975,0.9966,0.9975
1606590000,27413.5,0.9973,0.9966,0.9966,0.9975
1606593600,40518.19,0.9973,0.9969,0.9965,0.9975
1606597200,53758.15,0.9969,0.9971,0.9965,0.9974
1606600800,65358.48,0.9973,0.9973,0.9965,0.9974
1606604400,69875.37,0.9974,0.9972,0.9969,0.9975
1606608000,87285.17,0.9972,0.9972,0.9966,0.9975
1606611600,68113.36,0.9971,0.9973,0.9971,0.9975
1606615200,63567.12,0.9973,0.9973,0.997,0.9975
1606618800,17682.98,0.9971,0.9973,0.9969,0.9973
1606622400,19357.6,0.9973,0.9971,0.9971,0.9974
1606626000,19144.08,0.9971,0.9971,0.9971,0.9972
1606629600,27793.71,0.9971,0.9966,0.9966,0.9974
1606633200,28940.09,0.9966,0.997,0.9966,0.9972
1606636800,82050.82,0.997,0.9967,0.9965,0.9975
1606640400,114098.63,0.997,0.9971,0.9964,0.9974
1606644000,35700.96,0.9969,0.9967,0.9967,0.9973
1606647600,63073.02,0.9968,0.9972,0.9965,0.9972
1606651200,33850.89,0.997,0.9965,0.9965,0.9972
1606654800,265724.82,0.9965,0.9965,0.9961,0.9967
1606658400,35308.5,0.9963,0.9965,0.9961,0.9965
